MPG,Cilindros,Max,Acel,HP,Peso,Ano,Origem,Modelo,Marca
36.0,4,98.0,17.3,70,2125,82,North America,mercury lynx l,mercury
36.0,4,120.0,14.5,88,2160,82,Asia,nissan stanza xe,nissan
36.0,4,107.0,14.5,75,2205,82,Asia,honda accord,honda
34.0,4,108.0,16.9,70,2245,82,Asia,toyota corolla,toyota
38.0,4,91.0,15.0,67,1965,82,Asia,honda civic,honda
32.0,4,91.0,15.7,67,1965,82,Asia,honda civic (auto),honda
38.0,4,91.0,16.2,67,1995,82,Asia,datsun 310 gx,datsun
25.0,6,181.0,16.4,110,2945,82,North America,buick century limited,buick
38.0,6,262.0,17.0,85,3015,82,North America,oldsmobile cutlass ciera (diesel),oldsmobile
26.0,4,156.0,14.5,92,2585,82,North America,chrysler lebaron medallion,chrysler
22.0,6,232.0,14.7,112,2835,82,North America,ford granada l,ford
32.0,4,144.0,13.9,96,2665,82,Asia,toyota celica gt,toyota
36.0,4,135.0,13.0,84,2370,82,North America,dodge charger 2.2,dodge
27.0,4,151.0,17.3,90,2950,82,North America,chevrolet camaro,chevrolet
27.0,4,140.0,15.6,86,2790,82,North America,ford mustang gl,ford
44.0,4,97.0,24.6,52,2130,82,Europe,vw pickup,volkswagen
32.0,4,135.0,11.6,84,2295,82,North America,dodge rampage,dodge
28.0,4,120.0,18.6,79,2625,82,North America,ford ranger,ford
31.0,4,119.0,19.4,82,2720,82,North America,chevy s-10,chevrolet
